timestamp,iso_time,cpu_percent,ram_percent,gpu_percent
1762625136.6105187,2025-11-08T18:05:36.610519,23.8,50.4,0.0
1762625138.0322497,2025-11-08T18:05:38.032250,40.3,50.4,0.0
1762625139.34006,2025-11-08T18:05:39.340060,28.5,50.2,0.0
1762625140.6479435,2025-11-08T18:05:40.647943,37.6,50.2,0.0
1762625141.9653819,2025-11-08T18:05:41.965382,29.3,50.0,0.0
1762625143.2790463,2025-11-08T18:05:43.279046,38.8,50.0,0.0
1762625144.539096,2025-11-08T18:05:44.539096,36.6,50.0,0.0
1762625145.918562,2025-11-08T18:05:45.918562,40.8,50.0,0.0
1762625147.1580732,2025-11-08T18:05:47.158073,19.9,50.0,0.0
1762625148.3820546,2025-11-08T18:05:48.382055,12.5,50.0,0.0
1762625149.7433314,2025-11-08T18:05:49.743331,18.4,50.0,0.0
1762625150.9788857,2025-11-08T18:05:50.978886,22.2,50.0,0.0
1762625152.2583566,2025-11-08T18:05:52.258357,25.5,50.0,0.0
1762625153.5141902,2025-11-08T18:05:53.514190,23.4,50.0,0.0
1762625154.7504153,2025-11-08T18:05:54.750415,14.2,50.0,0.0
1762625155.9746082,2025-11-08T18:05:55.974608,15.8,50.0,0.0
1762625157.2862394,2025-11-08T18:05:57.286239,18.8,50.0,0.0
1762625158.5244403,2025-11-08T18:05:58.524440,33.0,50.0,0.0
1762625159.8227656,2025-11-08T18:05:59.822766,23.5,49.8,0.0
1762625161.108021,2025-11-08T18:06:01.108021,46.2,49.8,0.0
1762625162.372842,2025-11-08T18:06:02.372842,26.7,49.8,0.0
1762625163.6806076,2025-11-08T18:06:03.680608,37.5,49.7,0.0
1762625165.0002108,2025-11-08T18:06:05.000211,32.6,49.8,0.0
1762625166.248418,2025-11-08T18:06:06.248418,30.0,49.8,0.0
1762625167.5278778,2025-11-08T18:06:07.527878,34.4,49.8,0.0
1762625168.7733877,2025-11-08T18:06:08.773388,23.5,49.8,0.0
1762625170.0537004,2025-11-08T18:06:10.053700,26.2,49.8,0.0
1762625171.3085282,2025-11-08T18:06:11.308528,29.0,49.7,0.0
1762625172.5534704,2025-11-08T18:06:12.553470,34.0,49.8,0.0
1762625173.84743,2025-11-08T18:06:13.847430,37.6,49.8,0.0
1762625175.122275,2025-11-08T18:06:15.122275,44.2,49.8,0.0
1762625176.4683304,2025-11-08T18:06:16.468330,34.2,49.8,0.0
1762625177.7280307,2025-11-08T18:06:17.728031,35.0,49.8,0.0
1762625179.0211222,2025-11-08T18:06:19.021122,24.7,49.8,0.0
1762625180.372709,2025-11-08T18:06:20.372709,44.3,49.8,0.0
